Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52113,Slash,0.01,0.32,0,0,0,0,0,0,0.01,0.32,Apr-23
52028,slice,0.66,170.62,0,0,0,0,0,0,0.66,170.62,Apr-23
52042,South Indian Bank Apps,0.22,63.81,0,0,0,0,0,0,0.22,63.81,Apr-23
52048,Standard Chartered Bank Apps,0.16,94.21,0,0,0,0,0,0,0.16,94.22,Apr-23
52019,State Bank of India Apps,4.09,"1,910.04",0,0,0,0.11,0,0,4.09,"1,910.15",Apr-23
52055,Tamilnad Mercantile Bank Apps,0.06,13.15,0,0,0,0,0,0,0.06,13.15,Apr-23
52046,TataNeu,0.15,16.46,0,0,0,0,0,0,0.15,16.46,Apr-23
52050,UCO Bank Apps,0.34,111.87,0,0,0,0,0,0,0.34,111.87,Apr-23
52056,Ultracash,0.03,2.1,0,0,0,0,0,0,0.03,2.1,Apr-23
52034,Union Bank Apps,0.74,301.17,0,0,0,0,0,0,0.74,301.17,Apr-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.43,0,0,0,0,0,0,0.02,6.43,Apr-23
52011,WhatsApp,14.83,"1,319.01",0,0,0,0,0,0,14.83,"1,319.01",Apr-23
52013,Yes Bank Apps,34.45,"12,151.00",0,0,0.88,303.98,0,0,35.33,"12,454.98",Apr-23
52086,Others,0.03,8.54,0,0,0,0,0,0,0.03,8.54,Apr-23
52014,Airtel Payments Bank Apps,10.66,761.39,0,0,0,0,0,0.11,10.66,761.51,Mar-23
52065,Allahabad Bank Apps,0.03,8.33,0,0,0,0,0,0,0.03,8.33,Mar-23
52006,Amazon Pay,50.56,"5,360.90",0,0,0,0,0,0,50.56,"5,360.90",Mar-23
52038,AU Small Finance Bank Apps,0.62,186.48,0,0,0,0,0,0,0.62,186.48,Mar-23
52005,Axis Bank Apps,9.31,"1,700.48",48.9,273.18,0.03,3,0,0,58.24,"1,976.67",Mar-23
52015,Bajaj Finserv,6.7,965.35,0,0,0,0,0,0,6.7,965.35,Mar-23
52087,Bajaj Finserv PPI,0.05,12.22,0,0,0,0,0,0,0.05,12.22,Mar-23
52114,Bajaj Markets,0.01,0.35,0,0,0,0,0,0,0.01,0.35,Mar-23
52106,Bandhan Bank Apps,0.01,1.5,0,0,0,0,0,0,0.01,1.5,Mar-23
52115,Bank of America Apps,0.01,2.06,0,0,0,0,0,0,0.01,2.07,Mar-23
52036,Bank of Baroda Apps,1.16,446.84,0,0,0,0.42,0,0,1.16,447.25,Mar-23
52047,Bank of India Apps,0.23,71.14,0,0,0,0,0,0,0.23,71.14,Mar-23
52060,Bank of Maharashtra Apps,0.06,21.29,0,0,0,0,0,0,0.06,21.29,Mar-23
52012,BHIM,23.68,"7,498.24",0,0,0,0,0,0,23.68,"7,498.24",Mar-23
52026,Canara Bank Apps,1.39,374.43,0,0,0,0,0,0,1.39,374.43,Mar-23
52037,Central Bank of India Apps,0.36,83.48,0,0,0,0.09,0,0,0.36,83.56,Mar-23
52057,Citi Bank Apps,0.12,67.55,0,0,0,0.01,0,0,0.12,67.55,Mar-23
52058,City Union Bank Apps,0.06,18.93,0,0,0,0,0,0,0.06,18.93,Mar-23
52110,Cointab,0.04,19.07,0,0,0,0,0,0,0.04,19.07,Mar-23
52004,Cred,42.84,"21,056.31",0,0,0,0,0,0,42.84,"21,056.31",Mar-23
52040,DBS Digibank Apps,0.41,177.88,0,0,0,0,0,0,0.41,177.88,Mar-23
52024,Deutsche Bank Apps,1.72,167.84,0,0,0.02,19.27,0,0,1.73,187.11,Mar-23
52101,Dhanlaxmi Bank Apps,0.01,3.21,0,0,0,0,0,0,0.01,3.21,Mar-23
52062,Equitas Small Finance Bank Apps,0.02,13.57,0,0,0,0,0,0,0.02,13.57,Mar-23
52116,Eroute,0.27,19.25,0,0,0,0,0,0,0.27,19.25,Mar-23
52090,Fampay PPI,9.49,124.59,0,0,0,0,0,0,9.49,124.59,Mar-23
52082,Fave,0.08,6.4,0,0,0,0,0,0,0.08,6.4,Mar-23
52025,Federal Bank Apps,5.25,648.5,0,0,0,0,0,0,5.25,648.51,Mar-23
52043,Fino Payments bank Apps,0.13,8.18,0,0,0,0,0,0,0.13,8.18,Mar-23
52002,Google Pay,"3,054.44","4,82,896.69",0,0,0,0,0,0,"3,054.44","4,82,896.69",Mar-23
52018,Groww,0.18,137.64,0,0,0,0,0,0,0.18,137.64,Mar-23
52010,HDFC Bank Apps,14.22,"3,644.87",0,0,0,0.01,0,0,14.22,"3,644.88",Mar-23
52045,HSBC Bank Apps,0.14,89.69,0,0.03,0,0,0,0,0.14,89.71,Mar-23
52007,ICICI Bank Apps,29.46,"8,773.27",4.87,348.16,7.26,"8,502.71",0,0,41.59,"17,624.14",Mar-23
52075,IDBI Bank Apps,0.07,32.38,0,0,0,0,0,0,0.07,32.38,Mar-23
52020,IDFC Bank Apps,13.36,"2,665.21",0,0,0.67,640.96,0,0,14.02,"3,306.18",Mar-23
52017,India Post Payments Bank Apps,4.44,667.69,0,0,0,0,0,0,4.44,667.69,Mar-23
52030,Indian Bank Apps,0.26,75.85,0,0,0,16.56,0,0,0.26,92.41,Mar-23
52054,Indian Overseas Bank Apps,0.02,4.47,0,0,0,0,0,0,0.02,4.47,Mar-23
52044,IndusInd Bank Apps,0.93,950.35,0,0,0,0,0,0,0.93,950.35,Mar-23
52117,Janata Sahakari Bank Apps,0.01,3.74,0,0,0,0,0,0,0.01,3.74,Mar-23
52029,Jio Payments Bank Apps,1.68,118.72,0,0,0,0,0,0,1.68,118.72,Mar-23
52022,Jupiter,2.66,358.12,0,0,0,0,0,0,2.66,358.12,Mar-23
52051,Karnataka Bank Apps,0.42,91.53,0,0,0,0,0,0,0.42,91.53,Mar-23
52061,Karur Vysya Bank Apps,0.04,15.84,0,0,0,0,0,0,0.04,15.84,Mar-23
52009,Kotak Mahindra Bank Apps,13.77,"2,854.64",0,0,0,0.01,0,0,13.77,"2,854.65",Mar-23
52118,LivQuick PPI,0.01,0.64,0,0,0,0,0,0,0.01,0.64,Mar-23
52063,MakeMyTrip,0.05,23.5,0,0,0,0,0,0,0.05,23.5,Mar-23
52016,Mobikwik,3.64,937.98,0,0,0,0,0,0,3.64,937.98,Mar-23
52059,NSDL Payments Bank Apps,0.03,3.47,0,0,0,0,0,0,0.03,3.47,Mar-23
52067,Paytm Payments Bank App,"1,169.63","1,33,167.49",12.95,20.36,0.55,782.71,105.25,"20,459.85","1,288.38","1,54,430.40",Mar-23
52001,PhonePe,"4,076.32","7,07,410.47",0,0,0,0,0,0,"4,076.32","7,07,410.47",Mar-23
52032,Punjab National Bank Apps,0.43,110.59,0,0,0,0,0,0,0.43,110.59,Mar-23
52085,Punjab Sind Bank Apps,0.04,13.74,0,0,0,0,0,0,0.04,13.74,Mar-23
52031,RBL Bank Apps,1.79,544.09,0,0,0.09,1.89,0,0,1.88,545.98,Mar-23
52021,Samsung Pay,5.68,528.09,0,0,0,0,0,0,5.68,528.09,Mar-23
52042,South Indian Bank Apps,0.22,66.08,0,0,0,0,0,0,0.22,66.08,Mar-23
52048,Standard Chartered Bank Apps,0.15,94.14,0,0,0,0,0,0,0.15,94.14,Mar-23
52019,State Bank of India Apps,4.36,"2,011.57",0,0,0,0.08,0,0,4.36,"2,011.65",Mar-23
52055,Tamilnad Mercantile Bank Apps,0.07,12.42,0,0,0,0,0,0,0.07,12.42,Mar-23
52046,TataNeu,0.12,15,0,0,0,0,0,0,0.12,15,Mar-23
52119,Transerv PPI,0.06,8.11,0,0,0,0,0,0,0.06,8.11,Mar-23
52050,UCO Bank Apps,0.36,116.66,0,0,0,0,0,0,0.36,116.66,Mar-23
52056,Ultracash,0.04,2.61,0,0,0,0,0,0,0.04,2.61,Mar-23
52034,Union Bank Apps,0.75,310.24,0,0,0,0,0,0,0.75,310.24,Mar-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.35,0,0,0,0,0,0,0.02,6.35,Mar-23
52011,WhatsApp,13.35,"1,144.76",0,0,0,0,0,0,13.35,"1,144.76",Mar-23
52013,Yes Bank Apps,30.78,"10,038.78",0,0,0.68,55.12,0,0,31.47,"10,093.90",Mar-23
52086,Others,0.02,5.18,0,0,0,0,0,0,0.02,5.18,Mar-23
52014,Airtel Payments Bank Apps,8.71,730.35,0,0,0,0.01,0,0.09,8.71,730.45,Feb-23
52065,Allahabad Bank Apps,0.03,8.47,0,0,0,0,0,0,0.03,8.47,Feb-23
52006,Amazon Pay,47.8,"4,981.82",0,0,0,0,0,0,47.8,"4,981.82",Feb-23
52038,AU Small Finance Bank Apps,0.55,165.07,0,0,0,0,0,0,0.55,165.07,Feb-23
52005,Axis Bank Apps,7.74,"1,352.53",44.19,58.61,0.03,2.82,0,0,51.95,"1,413.95",Feb-23
52015,Bajaj Finserv,5.44,882.75,0,0,0,0,0,0,5.44,882.75,Feb-23
52106,Bandhan Bank Apps,0.01,1.71,0,0,0,0,0,0,0.01,1.71,Feb-23
52036,Bank of Baroda Apps,1.14,408.18,0,0,0,1.15,0,0,1.14,409.33,Feb-23
52047,Bank of India Apps,0.24,68.69,0,0,0,0,0,0,0.24,68.69,Feb-23
52060,Bank of Maharashtra Apps,0.07,19.02,0,0,0,0,0,0,0.07,19.02,Feb-23
52012,BHIM,23.21,"7,158.37",0,0,0,0,0,0,23.21,"7,158.37",Feb-23
52015,Bajaj Finserv,0.01,3.43,0,0,0,0,0,0,0.01,3.43,Feb-23
52026,Canara Bank Apps,1.09,284.23,0,0,0,0,0,0,1.09,284.23,Feb-23
52037,Central Bank of India Apps,0.32,72.05,0,0,0,0.1,0,0,0.32,72.15,Feb-23
52057,Citi Bank Apps,0.08,59.37,0,0,0,0,0,0,0.08,59.37,Feb-23
52058,City Union Bank Apps,0.06,15.94,0,0,0,0,0,0,0.06,15.94,Feb-23
52110,Cointab,0.04,16.4,0,0,0,0,0,0,0.04,16.4,Feb-23
52004,Cred,36.57,"17,902.20",0,0,0,0,0,0,36.57,"17,902.20",Feb-23
52040,DBS Digibank Apps,0.39,161.51,0,0,0,0,0,0,0.39,161.51,Feb-23
52024,Deutsche Bank Apps,1.31,112.45,0,0,0.01,5.9,0,0,1.32,118.35,Feb-23
52120,Transerv,0.02,3.13,0,0,0,0,0,0,0.02,3.13,Feb-23
52101,Dhanlaxmi Bank Apps,0.01,2.67,0,0,0,0,0,0,0.01,2.67,Feb-23
52062,Equitas Small Finance Bank Apps,0.02,11.41,0,0,0,0,0,0,0.02,11.41,Feb-23
52116,EROUTE,0.17,6.08,0,0,0,0,0,0,0.17,6.08,Feb-23
52090,FamPay PPI,1.6,21.73,0,0,0,0,0,0,1.6,21.73,Feb-23
52082,Fave,0.11,7.08,0,0,0,0,0,0,0.11,7.08,Feb-23
52025,Federal Bank Apps,4.76,590.97,0,0,0,0,0,0,4.76,590.97,Feb-23
52043,Fino Payments bank Apps,0.1,6.5,0,0,0,0,0,0,0.1,6.5,Feb-23
52002,Google Pay,"2,639.55","4,24,442.48",0,0,0,0,0,0,"2,639.55","4,24,442.48",Feb-23
52018,Groww,0.21,158.9,0,0,0,0,0,0,0.21,158.9,Feb-23
52010,HDFC Bank Apps,11.87,"3,116.03",0,0,0,0.14,0,0,11.87,"3,116.17",Feb-23
52045,HSBC Bank Apps,0.12,73.02,0,0.02,0,0,0,0,0.12,73.04,Feb-23
52007,ICICI Bank Apps,28.99,"8,054.44",5.68,390.6,5.84,"6,386.36",0,0,40.52,"14,831.40",Feb-23
52075,IDBI Bank Apps,0.07,29.25,0,0,0,0,0,0,0.07,29.25,Feb-23
52020,IDFC Bank Apps,21.31,"2,176.07",0,0,0.98,868.14,0,0,22.28,"3,044.21",Feb-23
52017,India Post Payments Bank Apps,4.05,609.49,0,0,0,0,0,0,4.05,609.49,Feb-23
52030,Indian Bank Apps,0.24,68.44,0,0,0,0.13,0,0,0.24,68.57,Feb-23
52054,Indian Overseas Bank Apps,0.01,2.31,0,0,0,0,0,0,0.01,2.31,Feb-23
52044,IndusInd Bank Apps,0.78,848.43,0,0,0,0,0,0,0.78,848.43,Feb-23
52029,Jio Payments Bank Apps,1.5,104.03,0,0,0,0,0,0,1.5,104.03,Feb-23
52022,Jupiter,2.39,314.07,0,0,0,0,0,0,2.39,314.07,Feb-23
52051,Karnataka Bank Apps,0.39,88.38,0,0,0,0,0,0,0.39,88.38,Feb-23
52061,Karur Vysya Bank Apps,0.04,14.78,0,0,0,0,0,0,0.04,14.78,Feb-23
52009,Kotak Mahindra Bank Apps,12.09,"2,521.61",0,0,0,0.03,0,0,12.09,"2,521.65",Feb-23
52063,MakeMyTrip,0.05,22.7,0,0,0,0,0,0,0.05,22.7,Feb-23
52016,Mobikwik,3.39,804.92,0,0,0,0,0,0,3.39,804.92,Feb-23
52059,NSDL Payments Bank Apps,0.02,3,0,0,0,0,0,0,0.02,3,Feb-23
52067,Paytm Payments Bank App,"1,027.97","1,16,864.36",10.52,17.08,0.43,621.78,98.61,"19,025.03","1,137.53","1,36,528.25",Feb-23
52001,PhonePe,"3,519.12","6,20,121.97",0,0,0,0,0,0,"3,519.12","6,20,121.97",Feb-23
52032,Punjab National Bank Apps,0.33,90.01,0,0,0,0,0,0,0.33,90.01,Feb-23
52085,Punjab Sind Bank Apps,0.04,12.34,0,0,0,0,0,0,0.04,12.34,Feb-23
52031,RBL Bank Apps,1.65,487.72,0,0,0.1,1.72,0,0,1.74,489.45,Feb-23
52021,Samsung Pay,5.24,488.33,0,0,0,0,0,0,5.24,488.33,Feb-23
52113,Slash,0.01,0.49,0,0,0,0,0,0,0.01,0.49,Feb-23
52028,slice,0.47,117.78,0,0,0,0,0,0,0.47,117.78,Feb-23
52042,South Indian Bank Apps,0.2,54.81,0,0,0,0,0,0,0.2,54.81,Feb-23
52048,Standard Chartered Bank Apps,0.14,82.79,0,0,0,0,0,0,0.14,82.79,Feb-23
52019,State Bank of India Apps,3.72,"1,753.88",0,0,0,0.05,0,0,3.72,"1,753.93",Feb-23
52055,Tamilnad Mercantile Bank Apps,0.06,10.21,0,0,0,0,0,0,0.06,10.21,Feb-23
52046,TataNeu,0.13,14.54,0,0,0,0,0,0,0.13,14.54,Feb-23
52050,UCO Bank Apps,0.31,97.44,0,0,0,0,0,0,0.31,97.44,Feb-23
52056,Ultracash,0.03,1.67,0,0,0,0,0,0,0.03,1.67,Feb-23
52034,Union Bank Apps,0.71,280.27,0,0,0,0,0,0,0.71,280.27,Feb-23
52095,Utkarsh Small Finance Bank Apps,0.02,9.01,0,0,0,0,0,0,0.02,9.01,Feb-23
52011,WhatsApp,11.63,970.67,0,0,0,0,0,0,11.63,970.67,Feb-23
52013,Yes Bank Apps,25.89,"7,481.18",0,0,0.66,37.06,0,0,26.55,"7,518.24",Feb-23
52086,Others,0.03,9.01,0,0,0,0,0,0,0.03,9.01,Feb-23
52014,Airtel Payments Bank Apps,9.77,834.52,0,0,0,0.02,0,0.1,9.77,834.63,Jan-23
52065,Allahabad Bank Apps,0.03,9.17,0,0,0,0,0,0,0.03,9.17,Jan-23
52006,Amazon Pay,57.75,"5,797.03",0,0,0,0,0,0,57.75,"5,797.03",Jan-23
52038,AU Small Finance Bank Apps,0.58,181.45,0,0,0,0,0,0,0.58,181.45,Jan-23
52005,Axis Bank Apps,8.24,"1,419.65",48,43.47,0.03,4.51,0,0,56.28,"1,467.64",Jan-23
52015,Bajaj Finserv,5.01,812.4,0,0,0,0,0,0,5.01,812.4,Jan-23
52114,Bajaj Markets,0.01,0.5,0,0,0,0,0,0,0.01,0.5,Jan-23
52106,Bandhan Bank Apps,0.01,1.47,0,0,0,0,0,0,0.01,1.47,Jan-23
52036,Bank of Baroda Apps,1.1,423.46,0,0,0,0,0,0,1.1,423.46,Jan-23
52047,Bank of India Apps,0.24,70.34,0,0,0,0,0,0,0.24,70.34,Jan-23
52060,Bank of Maharashtra Apps,0.08,20.39,0,0,0,0,0,0,0.08,20.39,Jan-23
52012,BHIM,24.96,"8,164.65",0,0,0,0,0,0,24.96,"8,164.65",Jan-23
52026,Canara Bank Apps,1.08,289.29,0,0,0,0,0,0,1.08,289.29,Jan-23
52037,Central Bank of India Apps,0.31,68.65,0,0,0,0.02,0,0,0.31,68.68,Jan-23
52057,Citi Bank Apps,0.12,71.81,0,0,0,0,0,0,0.12,71.81,Jan-23
52058,City Union Bank Apps,0.05,15.51,0,0,0,0,0,0,0.05,15.51,Jan-23
52110,Cointab,0.05,21.16,0,0,0,0,0,0,0.05,21.16,Jan-23
52004,Cred,35.18,"19,106.82",0,0,0,0,0,0,35.18,"19,106.82",Jan-23
52040,DBS Digibank Apps,0.41,174.02,0,0,0,0,0,0,0.41,174.02,Jan-23
52024,Deutsche Bank Apps,1.3,131.72,0,0,0.02,18.58,0,0,1.31,150.29,Jan-23
52101,Dhanlaxmi Bank Apps,0.01,2.76,0,0,0,0,0,0,0.01,2.76,Jan-23
52062,Equitas Small Finance Bank Apps,0.02,13.02,0,0,0,0,0,0,0.02,13.02,Jan-23
52116,Eroute,0.08,2.29,0,0,0,0,0,0,0.08,2.29,Jan-23
52090,Fampay PPI,12.8,175.63,0,0,0,0.01,0,0,12.8,175.64,Jan-23
52082,Fave,0.11,7.87,0,0,0,0,0,0,0.11,7.87,Jan-23
52025,Federal Bank Apps,4.72,604.6,0,0,0,0,0,0,4.72,604.61,Jan-23
52043,Fino Payments bank Apps,0.11,7.51,0,0,0,0,0,0,0.11,7.51,Jan-23
52102,GoIbibo,0.01,1.6,0,0,0,0,0,0,0.01,1.6,Jan-23
52002,Google Pay,"2,782.42","4,43,725.01",0,0,0,0,0,0,"2,782.42","4,43,725.01",Jan-23
52018,Groww,0.19,152.17,0,0,0,0,0,0,0.19,152.17,Jan-23
52010,HDFC Bank Apps,12.3,"3,324.64",0,0,0,0.16,0,0,12.3,"3,324.81",Jan-23
52045,HSBC Bank Apps,0.13,75.54,0,0.04,0,0,0,0,0.13,75.58,Jan-23
52007,ICICI Bank Apps,32.96,"8,950.32",5.27,376.42,6.9,"7,761.41",0,0,45.14,"17,088.16",Jan-23
52075,IDBI Bank Apps,0.07,30.81,0,0,0,0,0,0,0.07,30.81,Jan-23
52020,IDFC Bank Apps,10.82,"1,635.62",0,0,0.66,586.58,0,0,11.47,"2,222.20",Jan-23
52017,India Post Payments Bank Apps,5.43,707.37,0,0,0,0,0,0,5.43,707.37,Jan-23
52030,Indian Bank Apps,0.26,73.38,0,0,0,0,0,0,0.26,73.38,Jan-23
52054,Indian Overseas Bank Apps,0.01,2.31,0,0,0,0,0,0,0.01,2.31,Jan-23
52044,IndusInd Bank Apps,0.84,962.09,0,0,0,0,0,0,0.84,962.09,Jan-23
52117,Janata Sahakari Bank Apps,0.01,3.98,0,0,0,0,0,0,0.01,3.98,Jan-23
52029,Jio Payments Bank Apps,1.59,108.84,0,0,0,0,0,0,1.59,108.84,Jan-23
52022,Jupiter,2.49,323.88,0,0,0,0,0,0,2.49,323.88,Jan-23
52051,Karnataka Bank Apps,0.4,85.81,0,0,0,0,0,0,0.4,85.81,Jan-23
52061,Karur Vysya Bank Apps,0.04,15.27,0,0,0,0,0,0,0.04,15.27,Jan-23
52009,Kotak Mahindra Bank Apps,12.14,"2,612.59",0,0,0,0.01,0,0,12.14,"2,612.60",Jan-23
52063,MakeMyTrip,0.08,35.59,0,0,0,0,0,0,0.08,35.59,Jan-23
52016,Mobikwik,3.49,785.48,0,0,0,0,0,0,3.49,785.48,Jan-23
52059,NSDL Payments Bank Apps,0.02,3,0,0,0,0,0,0,0.02,3,Jan-23
52067,Paytm Payments Bank App,"1,076.75","1,19,647.31",7.75,18.1,0.46,638.22,105.94,"19,369.36","1,190.89","1,39,673.00",Jan-23
52001,PhonePe,"3,802.67","6,51,108.51",0,0,0,0,0,0,"3,802.67","6,51,108.51",Jan-23
52032,Punjab National Bank Apps,0.25,82.15,0,0,0,0,0,0,0.25,82.15,Jan-23
52085,Punjab Sind Bank Apps,0.04,13.08,0,0,0,0,0,0,0.04,13.08,Jan-23
52031,RBL Bank Apps,1.22,241.36,0,0,0.09,1.52,0,0,1.32,242.88,Jan-23
52021,Samsung Pay,5.52,523.73,0,0,0,0,0,0,5.52,523.73,Jan-23
52113,Slash,0.01,0.68,0,0,0,0,0,0,0.01,0.68,Jan-23
52028,slice,0.22,45.82,0,0,0,0,0,0,0.22,45.82,Jan-23
52042,South Indian Bank Apps,0.19,56.75,0,0,0,0,0,0,0.19,56.75,Jan-23
52048,Standard Chartered Bank Apps,0.15,85.16,0,0,0,0,0,0,0.15,85.16,Jan-23
52019,State Bank of India Apps,4.06,"1,901.92",0,0,0,0,0,0,4.06,"1,901.92",Jan-23
52055,Tamilnad Mercantile Bank Apps,0.07,11.67,0,0,0,0,0,0,0.07,11.67,Jan-23
52046,TataNeu,0.11,14.79,0,0,0,0,0,0,0.11,14.79,Jan-23
52120,Transerv,0.01,0.71,0,0,0,0,0,0,0.01,0.71,Jan-23
52050,UCO Bank Apps,0.32,101.06,0,0,0,0,0,0,0.32,101.06,Jan-23
52056,Ultracash,0.04,2.25,0,0,0,0,0,0,0.04,2.25,Jan-23
52034,Union Bank Apps,0.8,303.93,0,0,0,0,0,0,0.8,303.93,Jan-23
52095,Utkarsh Small Finance Bank Apps,0.02,8.35,0,0,0,0,0,0,0.02,8.35,Jan-23
52011,WhatsApp,11.47,963.12,0,0,0,0,0,0,11.47,963.12,Jan-23
52013,Yes Bank Apps,33.37,"12,047.35",0,0,0.59,69.27,0,0,33.96,"12,116.61",Jan-23
52086,Others,0.02,5.57,0,0,0,0,0,0,0.02,5.57,Jan-23
52014,Airtel Payments Bank Apps,8.69,681.55,0,0,0,0,0,0.12,8.7,681.67,Dec-22
52065,Allahabad Bank Apps,0.03,9.75,0,0,0,0,0,0,0.03,9.75,Dec-22
52006,Amazon Pay,69.61,"6,621.66",0,0,0,0,0,0,69.61,"6,621.66",Dec-22
52038,AU Small Finance Bank Apps,0.58,177.47,0,0,0,0,0,0,0.58,177.47,Dec-22
52005,Axis Bank Apps,7.26,"1,246.36",58.27,56.3,0.03,2.44,0,0,65.56,"1,305.09",Dec-22
52015,Bajaj Finserv,4.56,647.71,0,0,0,0,0,0,4.56,647.71,Dec-22
52106,Bandhan Bank Apps,0.01,1.53,0,0,0,0,0,0,0.01,1.53,Dec-22
52036,Bank of Baroda Apps,1.02,397.56,0,0,0,0,0,0,1.02,397.56,Dec-22
52047,Bank of India Apps,0.22,64.32,0,0,0,0,0,0,0.22,64.32,Dec-22
52060,Bank of Maharashtra Apps,0.08,19.91,0,0,0,0,0,0,0.08,19.91,Dec-22
52012,BHIM,25.5,"8,400.04",0,0,0,0,0,0,25.5,"8,400.04",Dec-22
52026,Canara Bank Apps,1.02,275.7,0,0,0,0,0,0,1.02,275.7,Dec-22
52037,Central Bank of India Apps,0.26,60.28,0,0,0,0.05,0,0,0.26,60.32,Dec-22
52057,Citi Bank Apps,0.09,68.38,0,0,0,0,0,0,0.09,68.38,Dec-22
52058,City Union Bank Apps,0.05,14.38,0,0,0,0,0,0,0.05,14.38,Dec-22
52110,Cointab,0.05,18.98,0,0,0,0,0,0,0.05,18.98,Dec-22
52004,Cred,31.42,"19,622.29",0,0,0,0,0,0,31.42,"19,622.29",Dec-22
52040,DBS Digibank Apps,0.41,171.59,0,0,0,0,0,0,0.41,171.59,Dec-22
52024,Deutsche Bank Apps,1.28,104.47,0,0,0,0.01,0,0,1.28,104.49,Dec-22
52101,Dhanlaxmi Bank Apps,0.01,3.16,0,0,0,0,0,0,0.01,3.16,Dec-22
52062,Equitas Small Finance Bank Apps,0.02,11.69,0,0,0,0,0,0,0.02,11.69,Dec-22
52090,Fampay PPI,9.7,127.18,0,0,0,0.01,0,0,9.7,127.19,Dec-22
52082,Fave,0.08,5.01,0,0,0,0,0,0,0.08,5.01,Dec-22
52025,Federal Bank Apps,4.57,595.17,0,0,0,0.01,0,0,4.57,595.18,Dec-22
52043,Fino Payments bank Apps,0.11,7.49,0,0,0,0,0,0,0.11,7.49,Dec-22
52002,Google Pay,"2,712.34","4,40,370.99",0,0,0,0,0,0,"2,712.34","4,40,370.99",Dec-22
52018,Groww,0.21,153.02,0,0,0,0,0,0,0.21,153.02,Dec-22
52010,HDFC Bank Apps,11.81,"3,143.08",0,0,0,0.15,0,0,11.81,"3,143.24",Dec-22
52045,HSBC Bank Apps,0.15,78.59,0,0.05,0,0,0,0,0.15,78.63,Dec-22
52007,ICICI Bank Apps,36.74,"8,815.95",5.17,418.68,6.38,"6,890.51",0,0,48.29,"16,125.15",Dec-22
52075,IDBI Bank Apps,0.07,29.5,0,0,0,0,0,0,0.07,29.5,Dec-22
52020,IDFC Bank Apps,9.55,"1,184.60",0,0,0.16,138.38,0,0,9.7,"1,322.98",Dec-22
52017,India Post Payments Bank Apps,5.55,682.59,0,0,0,0,0,0,5.55,682.59,Dec-22
52030,Indian Bank Apps,0.25,73.71,0,0,0,0,0,0,0.25,73.71,Dec-22
52054,Indian Overseas Bank Apps,0.01,2.9,0,0,0,0,0,0,0.01,2.9,Dec-22
52044,IndusInd Bank Apps,1.26,"1,062.40",0,0,0,0,0,0,1.26,"1,062.40",Dec-22
52117,Janata Sahakari Bank Apps,0.01,4.58,0,0,0,0,0,0,0.01,4.58,Dec-22
52029,Jio Payments Bank Apps,1.48,104.71,0,0,0,0,0,0,1.48,104.71,Dec-22
52022,Jupiter,2.53,318.03,0,0,0,0,0,0,2.53,318.03,Dec-22
52051,Karnataka Bank Apps,0.48,91.09,0,0,0,0,0,0,0.48,91.09,Dec-22
52061,Karur Vysya Bank Apps,0.04,14.87,0,0,0,0,0,0,0.04,14.87,Dec-22
52009,Kotak Mahindra Bank Apps,11.53,"2,480.17",0,0,0,0.01,0,0,11.53,"2,480.18",Dec-22
52063,MakeMyTrip,0.1,52.3,0,0,0,0,0,0,0.1,52.3,Dec-22
52016,Mobikwik,3.62,806.82,0,0,0,0,0,0,3.62,806.82,Dec-22
52059,NSDL Payments Bank Apps,0.02,2.95,0,0,0,0,0,0,0.02,2.95,Dec-22
52067,Paytm Payments Bank App,"1,054.05","1,18,069.81",6.08,16.86,0.43,580.52,109.79,"20,154.47","1,170.34","1,38,821.66",Dec-22
52001,PhonePe,"3,674.24","6,39,348.78",0,0,0,0,0,0,"3,674.24","6,39,348.78",Dec-22
52032,Punjab National Bank Apps,0.22,76.7,0,0,0,0,0,0,0.22,76.7,Dec-22
52085,Punjab Sind Bank Apps,0.03,10.48,0,0,0,0,0,0,0.03,10.48,Dec-22
52031,RBL Bank Apps,0.92,214.4,0,0.01,0.18,0.89,0,0,1.1,215.3,Dec-22
52021,Samsung Pay,5.49,531.12,0,0,0,0,0,0,5.49,531.12,Dec-22
52113,Slash,0.01,0.79,0,0,0,0,0,0,0.01,0.79,Dec-22
52028,Slice,0.15,15.74,0,0,0,0,0,0,0.15,15.74,Dec-22
52042,South Indian Bank Apps,0.18,53.2,0,0,0,0,0,0,0.18,53.2,Dec-22
52048,Standard Chartered Bank Apps,0.16,90.42,0,0,0,0,0,0,0.16,90.42,Dec-22
52019,State Bank of India Apps,4.22,"1,928.43",0,0,0,0,0,0,4.22,"1,928.43",Dec-22
52055,Tamilnad Mercantile Bank Apps,0.08,12.13,0,0,0,0,0,0,0.08,12.13,Dec-22
52046,TataNeu,0.15,17.64,0,0,0,0,0,0,0.15,17.64,Dec-22
52050,UCO Bank Apps,0.31,93.32,0,0,0,0,0,0,0.31,93.32,Dec-22
