Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52012,BHIM,29.98,"8,778.61",0,0,0,0,0,0,29.98,"8,778.61",Jan-24
52009,Kotak Mahindra Bank Apps,28.24,"4,981.01",0,0,0,0,0,0,28.24,"4,981.01",Jan-24
52011,WhatsApp,26.08,"2,132.83",0,0,0,0,0,0,26.08,"2,132.83",Jan-24
52013,Yes Bank Apps,23.01,"11,585.54",0,0,0.27,33.23,0,0,23.28,"11,618.77",Jan-24
52015,Bajaj Finserv,19.87,"2,737.66",0,0,0,0,0,0,19.87,"2,737.66",Jan-24
52014,Airtel Payments Bank Apps,13.24,902.32,0,0,0,0.08,0,0.03,13.24,902.43,Jan-24
52018,Groww,9.41,"6,540.35",0,0,0,0,0,0,9.41,"6,540.35",Jan-24
52019,State Bank of India Apps,6.1,"2,425.87",0,0,0.03,0.87,0,0,6.13,"2,426.73",Jan-24
52021,Samsung Pay,5.73,518.32,0,0,0,0,0,0,5.73,518.32,Jan-24
52020,IDFC Bank Apps,5.47,"1,448.50",0,0,0,0,0,0,5.47,"1,448.50",Jan-24
52025,Federal Bank Apps,5.33,674.05,0,0,0,0,0,0,5.33,674.05,Jan-24
52016,Mobikwik,5.19,"1,625.48",0,0,0,0,0,0,5.19,"1,625.48",Jan-24
52022,Jupiter,4.97,665.54,0,0,0,0,0,0,4.97,665.54,Jan-24
52017,India Post Payments Bank Apps,4.69,461.95,0,0,0,0,0,0,4.69,461.95,Jan-24
52024,Deutsche Bank Apps,3.89,294.6,0,0,0,0.03,0,0,3.89,294.63,Jan-24
52048,Standard Chartered Bank Apps,2.61,195.77,0,0,1.07,550.69,0,0,3.68,746.46,Jan-24
52031,RBL Bank Apps,3.15,739.53,0,0.03,0.2,46.97,0,0,3.35,786.52,Jan-24
52026,Canara Bank Apps,2.62,758.31,0,0,0,0,0,0,2.62,758.31,Jan-24
52028,slice,2.01,407.98,0,0,0,0,0,0,2.01,407.98,Jan-24
52029,Jio Payments Bank Apps,1.51,137.62,0,0,0,0,0,0,1.51,137.62,Jan-24
52032,Punjab National Bank Apps,1.32,335.6,0,0,0,0,0,0,1.32,335.6,Jan-24
52030,Indian Bank Apps,1.29,311.48,0,0,0,10.91,0,0,1.29,322.39,Jan-24
52028,SLICE,1.26,41.97,0,0,0,0,0,0,1.26,41.97,Jan-24
52035,Omnicard,1.15,37.16,0,0,0,0,0,0,1.15,37.16,Jan-24
52036,Bank of Baroda Apps,1.14,505.93,0,0,0,10.66,0,0,1.14,516.58,Jan-24
52034,Union Bank Apps,1.11,451.7,0,0,0,0,0,0,1.11,451.7,Jan-24
52027,Navi,0.96,54.5,0,0,0,0,0,0,0.96,54.5,Jan-24
52039,Gokiwi,0.74,105.76,0,0,0,0,0,0,0.74,105.76,Jan-24
52040,DBS Digibank Apps,0.7,252.85,0,0,0,1.8,0,0,0.7,254.66,Jan-24
52051,Karnataka Bank Apps,0.67,144.11,0,0,0,0,0,0,0.67,144.11,Jan-24
52038,AU Small Finance Bank Apps,0.66,259.49,0,0,0,0,0,0,0.66,259.49,Jan-24
